sample_idx,cycle_idx,pose_idx,pose_name,j1,j2,j3,j4,gripper,robot_u,robot_v,robot_d,robot_conf,robot_bbox,image_path
59,1,10,calib_10_far_left,-0.7577865123748779,0.22856314480304718,-0.9173204898834229,0.5430291891098022,-1.7626196495257318e-05,230,100,0.7920000433921814,0.889055609703064,"[173.7379150390625, 58.992095947265625, 287.6180114746094, 141.72747802734375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0059_cycle_01_pose_10_calib_10_far_left.jpg
60,1,10,calib_10_far_left,-0.8436894416809082,0.09817477315664291,-0.8759030103683472,0.5430291891098022,-1.7626196495257318e-05,229,80,0.7660000205039978,0.8319121599197388,"[171.98666381835938, 41.88109588623047, 286.03173828125, 120.0768814086914]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0060_cycle_01_pose_10_calib_10_far_left.jpg
61,1,10,calib_10_far_left,-0.9311263561248779,-0.032213594764471054,-0.8375535011291504,0.5430291891098022,-1.7626196495257318e-05,230,64,0.7810000061988831,0.9170889258384705,"[174.19329833984375, 27.636356353759766, 286.4485778808594, 101.47549438476562]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0061_cycle_01_pose_10_calib_10_far_left.jpg
62,1,10,calib_10_far_left,-1.0339030027389526,-0.1840776950120926,-0.7915340662002563,0.5414952039718628,-1.7626196495257318e-05,236,51,0.8110000371932984,0.910822331905365,"[181.45657348632812, 16.62230682373047, 292.20904541015625, 86.806884765625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0062_cycle_01_pose_10_calib_10_far_left.jpg
63,1,10,calib_10_far_left,-1.0783884525299072,-0.2546408176422119,-0.7700583338737488,0.5414952039718628,-1.7626196495257318e-05,250,42,0.8460000634193421,0.8937432765960693,"[197.90289306640625, 9.026084899902344, 303.0126953125, 75.57682800292969]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0063_cycle_01_pose_10_calib_10_far_left.jpg
64,1,11,calib_11_far_right,-1.0799224376678467,-0.2546408176422119,-0.7700583338737488,0.5430291891098022,-1.7626196495257318e-05,255,37,0.8600000619888306,0.8740798234939575,"[208.02386474609375, 5.0827789306640625, 302.61865234375, 70.64575958251953]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0064_cycle_01_pose_11_calib_11_far_right.jpg
65,1,11,calib_11_far_right,-0.7623884677886963,-0.31446605920791626,-0.6412039399147034,0.5414952039718628,-3.5252818634035066e-05,256,37,0.8580000281333924,0.8834060430526733,"[207.8170928955078, 5.2200164794921875, 304.20758056640625, 70.08094787597656]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0065_cycle_01_pose_11_calib_11_far_right.jpg
66,1,11,calib_11_far_right,-0.3988350033760071,-0.38196122646331787,-0.49240782856941223,0.5414952039718628,-1.7626196495257318e-05,278,41,0.8180000066757203,0.9048334956169128,"[221.17770385742188, 7.333076477050781, 335.5379333496094, 76.53337860107422]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0066_cycle_01_pose_11_calib_11_far_right.jpg
67,1,11,calib_11_far_right,-0.03067961521446705,-0.45405831933021545,-0.3436116874217987,0.5430291891098022,-1.7626196495257318e-05,314,51,0.8800000429153443,0.9085561633110046,"[260.68621826171875, 13.279800415039062, 369.05950927734375, 88.88761901855469]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0067_cycle_01_pose_11_calib_11_far_right.jpg
68,1,11,calib_11_far_right,0.3328738212585449,-0.526155412197113,-0.19634954631328583,0.5414952039718628,-1.7626196495257318e-05,354,60,0.8710000395774842,0.9144506454467773,"[304.87982177734375, 20.760726928710938, 404.91473388671875, 100.48115539550781]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0068_cycle_01_pose_11_calib_11_far_right.jpg
